Sample_ID,Base_Height_m,Top_Height_m,Latitude,Longitude,Elevation_m,Section,Facies_ID,Facies_Notes,Vertical_Height_m,Lateral_Distance_m,Notes,Checkin_Field,Other
AF-NCF-TS4-17-23,15.5,15.6,N39.52074,W115.86372,2197,TS4,Mb/Fc,,NA,NA,,6/5/17,
AF-NCF-TS4-17-24,15.9,16,N39.52074,W115.86372,2197,TS4,Mb/Fc,,NA,NA,,6/5/17,
AF-NCF-TS4-17-25,16.4,16.5,N39.52074,W115.86372,2197,TS4,Mb/Fc,,NA,NA,,6/5/17,
AF-NCF-TS4-17-26,17.2,17.3,N39.52075,W115.86376,2194,TS4,Mb/Fc,,NA,NA,,6/5/17,
AF-NCF-TS4-17-27,17.9,18,N39.52077,W115.86372,2204,TS4,Mb/Fc,,NA,NA,,6/7/17,
AF-NCF-TS4-17-28,18.3,18.4,N39.52073,W115.86375,2202,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-29,20.6,20.7,N39.5207,W115.86381,2206,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-30,21.5,21.6,N39.52071,W115.86376,2207,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-31,22,22.1,N39.52071,W115.86380,2201,TS4,Mb/Fc,,NA,NA,,6/7/17,
AF-NCF-TS4-17-32,25,25.1,N39.52067,W115.86384,2203,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-33,25.5,25.6,N39.52067,W115.86384,2203,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-34,26.5,26.6,N39.52061,W11586378,2211,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-35,27.3,27.4,N39.52061,W11586378,2211,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-36,27.7,27.8,N39.52057,W115.86378,2210,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-37,28.5,28.6,N39.52053,W115.86780,2211,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-38,28.9,29,N39.52053,W115.86780,2211,TS4,Mb/Fc,,NA,NA,,6/9/17,
AF-NCF-TS4-17-39,34.5,34.6,N39.52056,W115.86385,2211,TS4,Mb/Fc,,NA,NA,,6/10/17,
AF-NCF-TS4-17-40,43.5,43.6,N39.52048,W115.86391,2223,TS4,Mb/Fc,,NA,NA,,6/10/17,
AF-NCF-TS4-17-41,51,51.2,N39.52046,W115.86401,2229,TS4,Mb/Fc,,NA,NA,,6/10/17,
AF-NCF-TS4-17-42,61.5,61.6,N39.52040,W115.86407,2239,TS4,Mb/Fc,,NA,NA,,6/10/17,
AF-NCF-TS5-17-01,303.5,303.6,N39 31.216,W115 52.185,2117,TS5,Mb/Fc,,NA,NA,,6/29/17,
AF-NCF-TS5-17-02,304,304.1,N39 31.216,W115 52.185,2117,TS5,Mb/Fc,,NA,NA,,6/29/17,
AF-NCF-TS5-17-03,304.5,304.6,N39 31.216,W115 52.185,2117,TS5,Mb/Fc,,NA,NA,,6/29/17,
